"Manuscript.Type","My paper has no data","Yes","Perc"
"Research",216,2000,"90.3%"
"Evidence Synthesis",3,13,"81.2%"
"Biological Science Practices",7,12,"63.2%"
"Invited Reply",2,1,"33.3%"
"Review",47,17,"26.6%"
"Special Feature Reviews",7,1,"12.5%"
"Commentary",10,1,"9.1%"
"Comment",2,0,"0%"
