sort_id,Manuscript.ID,Submission.Question.Response.y,appar_link,appar_supp,appar_data,appar_code,Is a link and/or supplementary materials provided?,How is it provided?,Is data and/or code provided?,Checked by,Notes
60,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Unclear,[redacted],
61,[redacted],[redacted],TRUE,TRUE,TRUE,FALSE,Yes,Both,Data,[redacted],
62,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
63,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data,[redacted],code explicitly not provided with the data links
64,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
65,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Unclear,NA,NA,[redacted],"unclear if it being uploaded for review, or to the repo for sharing after acceptance"
66,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
67,[redacted],[redacted],TRUE,TRUE,TRUE,FALSE,Yes,Both,Data,[redacted],
68,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Both,Data and Code,[redacted],
69,[redacted],[redacted],FALSE,TRUE,FALSE,FALSE,Yes,Supplementary materials,Unclear,[redacted],
70,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
71,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Link,Data,[redacted],
72,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
73,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
74,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
75,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
76,[redacted],[redacted],TRUE,FALSE,FALSE,TRUE,Yes,Link,Data and Code,[redacted],
77,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
78,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
79,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
80,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
81,[redacted],[redacted],TRUE,FALSE,FALSE,FALSE,Yes,Link,Data,[redacted],
82,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
83,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Both,Data and Code,[redacted],
84,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Both,Data and Code,[redacted],
85,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
86,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
87,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
88,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Unclear,[redacted],
89,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
90,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
91,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
92,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
93,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
94,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
95,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
96,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
97,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
98,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
99,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
100,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
